name,superphot_plus_prob,peak_mag,yse_pz,yse_field,ra,dec,tns_name,tns_redshift,tns_class,host_redshift,host_prob,host_sep_arcsec,best_host_catalog,host_absmag,best_redshift,host_name,high_host_confidence,peak_abs_mag,peak_phase,superphot_plus_class,superphot_plus_classifier,superphot_plus_sampler,superphot_non_Ia_prob,superphot_plus_class_without_redshift,superphot_plus_prob_without_redshift,posted_before
2025muk,0.652,16.026695274957433,<https://ziggy.ucolick.org/yse/transient_detail/2025muk|*YSE-PZ*>,,317.163528981,-27.3658505277,2025muk,,,,,,,,,,False,,46.74905141526688,SN IIn,full_lightgbm_02_2025,dynesty,1.0,,,False
2025efb,1.0,17.21917823041589,<https://ziggy.ucolick.org/yse/transient_detail/2025efb|*YSE-PZ*>,,300.585762,-20.230103,2025efb,0.019524,SN Ib/c,,,,,,0.019524,,False,-17.474650704616582,76.70054222990439,SN Ibc,full_lightgbm_02_2025,svi,1.0,SN Ibc,0.992,False
2025lql,0.75,19.36250154663876,<https://ziggy.ucolick.org/yse/transient_detail/2025lql|*YSE-PZ*>,719.D,220.513434614,-9.95489880538,2025lql,,,,,,,,,,False,,2.9617722299008165,SN IIn,full_lightgbm_02_2025,svi,1.0,,,False
2025msu,0.714,18.981304938071823,<https://ziggy.ucolick.org/yse/transient_detail/2025msu|*YSE-PZ*>,,317.357967143,-23.7797071429,2025msu,,,0.0339721653210448,0.9999999999999798,6.408426304060427,glade,-20.639993579715146,,134252.0,False,,3.077447229901736,SLSN-I,early_lightgbm_02_2025,dynesty,1.0,,,False
2025miy,0.704,17.463094153528804,<https://ziggy.ucolick.org/yse/transient_detail/2025miy|*YSE-PZ*>,468.D,346.8512851,5.142185,2025miy,0.06,SN Ia,0.079476,0.2355366523824505,20.670800000304634,decals,-19.17375411197702,0.06,9906623488265104.0,True,-19.69005157789782,2.7896812299004523,SN IIn,early_lightgbm_02_2025,svi,0.837,SLSN-I,0.634,False
2025kzu,0.57,15.434875809641468,<https://ziggy.ucolick.org/yse/transient_detail/2025kzu|*YSE-PZ*>,423.B,173.15238,-2.285073,2025kzu,,,0.049676635229309,0.999999999999991,1.3222371109079682,glade,-19.98999533636962,0.049676635229309,3291292.0,True,-21.30301666499258,61.151418229906994,SLSN-I,full_lightgbm_02_2025,svi,0.849,SN Ibc,0.677,False
2025gjp,0.618,16.990694686524865,<https://ziggy.ucolick.org/yse/transient_detail/2025gjp|*YSE-PZ*>,,296.666932116,-25.2403924349,2025gjp,0.0187,SN II,,,,,,0.0187,,False,-17.609040077927865,53.58397577525466,SN Ibc,full_lightgbm_02_2025,svi,0.999,SN IIn,0.386,False
2025nbi,0.933,18.55009313569915,<https://ziggy.ucolick.org/yse/transient_detail/2025nbi|*YSE-PZ*>,423.B,8.112308,-2.20268,2025nbi,,None,0.192184,0.9899642384248438,1.9597738822705588,decals,-18.40123287842932,0.192184,9906620570013527,True,-21.187287409578083,8.03461679911561,SLSN-I,full_lightgbm_02_2025,svi,0.986,SN Ia,0.503,False
2025nbd,0.821,14.147010684766368,<https://ziggy.ucolick.org/yse/transient_detail/2025nbd|*YSE-PZ*>,365.F,3.408282,-8.775101,2025nbd,,None,0.0211032303429059,0.9999999999999696,14.033472998251002,glade,-20.26532486977521,,PGC000905,False,,17.220842799113598,SN Ibc,early_lightgbm_02_2025,svi,0.995,,,False
2025myk,0.778,18.55609181662735,<https://ziggy.ucolick.org/yse/transient_detail/2025myk|*YSE-PZ*>,527.F,307.130077778,13.6783077778,2025myk,0.027,SN Ic,,,,,,0.027,,False,-16.845827350699146,1.3660927991149947,SN Ibc,early_lightgbm_02_2025,svi,1.0,SN Ibc,0.444,False
2025ncv,0.522,15.075125288129655,<https://ziggy.ucolick.org/yse/transient_detail/2025ncv|*YSE-PZ*>,,307.847497857,-26.5577707143,2025ncv,,None,,,,,,,,False,,25.60213879912044,SN Ibc,full_lightgbm_02_2025,svi,0.849,,,False
